station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Hydro Power Station - Wayatinah,TAS,-42.38857,146.49946,Hydro,NEM,2023-24,216516.0,37.0,0.00017088806369968039
Hydro Power Station - Wilmot,TAS,-41.3870316,146.1748539,Hydro,NEM,2023-24,81928.0,31.0,0.00037838101747876183
Power Station - Flinders Island,TAS,-39.9967743,148.089437,Wind,Off-grid,2023-24,5192.0,1769.0,0.3407164869029276
Power Station - King Island,TAS,-39.8686056,143.9785801,Diesel,Off-grid,2023-24,14613.0,6924.0,0.4738246766577705
Power Station - Tamar Valley,TAS,-41.1405872,146.9056213,Natural Gas,NEM,2023-24,233140.0,113240.0,0.48571673672471477
Bolivar Power Station,SA,-34.7715623,138.5722034,Natural Gas,NEM,2023-24,43297.0,23703.0,0.5474513245721413
Metz Solar Farm,NSW,-30.5816667,151.8677778,Solar,NEM,2023-24,220543.0,1130.0,0.005123717370308738
Murra Warra II Wind Farm,VIC,-36.4364125,142.24662,Wind,NEM,2023-24,540119.0,1553.0,0.0028752922966975795
Snapper Point Power Station,SA,-34.7645435,138.5083889,Natural Gas,NEM,2023-24,38462.0,27319.0,0.7102854765742811
Blue Rock,VIC,-38.0792934,146.2302114,Hydro,NEM,2023-24,10467.0,0.0,0.0
Cardinia,VIC,-38.1436364,145.4178196,Hydro,NEM,2023-24,4456.0,0.0,0.0
Esperance Town Power Station,WA,-31.9884635,115.8971507,Natural Gas,Off-grid,2023-24,85532.0,28595.0,0.33431931908525464
Meekatharra Solar Farm,WA,-26.5925631,118.4957043,Solar,Off-grid,2023-24,533.0,0.0,0.0
Norseman Power Station,WA,-32.1984985,121.7791456,Diesel,Off-grid,2023-24,4910.0,3182.0,0.6480651731160896
Nova Power Station,VIC,-37.636929,144.8719633,Natural Gas,NEM,2023-24,1174.0,3773.0,3.2137989778534926
Gangarri Solar Farm,QLD,-26.2694941,149.759417,Solar,NEM,2023-24,197666.0,719.0,0.0036374490301822266
Gunnedah Solar Farm,NSW,-31.0237593,150.2036527,Solar,NEM,2023-24,240153.0,0.0,0.0
Suntop Solar Farm,NSW,-32.5652,148.8346,Solar,NEM,2023-24,273861.0,0.0,0.0
Kiamal Solar Farm,VIC,-34.9956336,142.3157549,Solar,NEM,2023-24,398647.0,5452.0,0.013676259949278435
New England Solar Farm,NSW,-30.5954925,152.4697192,Solar,NEM,2023-24,822340.0,4161.0,0.005059950871902133
Dulacca Wind Farm,QLD,-26.696213,149.772171,Wind,NEM,2023-24,531175.0,1032.0,0.001942862521767779
Rye Park Wind Farm,NSW,-34.5179697,148.907277,Wind,NEM,2023-24,449625.0,1873.0,0.004165693633583542
Murra Warra 1 Wind Farm,VIC,-36.4364125,142.24662,Wind,NEM,2023-24,487520.0,792.0,0.001624548736462094
